fecha,producto,categoria,cantidad,precio_unitario,total,cliente_id,region,vendedor
2025-02-15,Laptop Lenovo,Laptops,3,6389.65,19168.95,CLI-84972,Arequipa,Marco Donoso Hierro
2024-07-26,Monitor Samsung,Monitores,9,944.76,8502.84,CLI-91094,Chiclayo,Jerónimo Pino Lerma
2025-03-17,Laptop Dell,Laptops,10,5369.65,53696.5,CLI-72368,Chiclayo,Albano Llopis Hierro
2025-08-08,Monitor Samsung,Monitores,9,1105.56,9950.04,CLI-12486,Arequipa,Paco Rocamora Nieto
2024-09-23,Teclado Razer,Periféricos,10,277.69,2776.9,CLI-79932,Trujillo,Celia Baños-Arroyo
2023-12-20,Laptop Dell,Laptops,8,7240.86,57926.88,CLI-13049,Trujillo,Rolando del Bernal
2024-05-25,Monitor ASUS,Monitores,7,840.9,5886.3,CLI-79193,Trujillo,Celia Baños-Arroyo
2025-11-27,Mouse Logitech,Periféricos,2,78.66,157.32,CLI-23019,Chiclayo,Jacobo del Agudo
2025-02-18,Mouse Razer,Periféricos,3,95.67,287.01,,Lima Centro,Soraya Núñez Lamas
2024-11-26,SSD Samsung,Almacenamiento,3,235.35,706.05,CLI-52636,Lima Centro,Albano Llopis Hierro
2024-09-23,Laptop Dell,Laptops,5,4644.67,23223.35,CLI-51948,Lima Centro,Rolando del Bernal
2024-05-21,Auriculares Sony,Periféricos,5,688.17,3440.85,CLI-25855,Lima Norte,Paco Rocamora Nieto
2024-07-21,Teclado Razer,Periféricos,10,334.41,3344.1,CLI-74615,Chiclayo,Felicidad Gallego Lasa
2024-11-22,Webcam Logitech,Periféricos,2,271.18,542.36,CLI-51724,Piura,Marco Donoso Hierro
2024-03-27,SSD Samsung,Almacenamiento,2,490.5,981.0,CLI-63411,Lima Este,Albano Llopis Hierro
2024-03-17,Mouse Logitech,Periféricos,9,290.87,2617.83,CLI-98486,Lima Sur,Casemiro Garrido-Navarro
2025-01-06,Impresora Epson,Impresoras,3,887.38,2662.14,CLI-63313,Piura,Ileana Antón-Andrés
2024-03-22,Impresora HP,Impresoras,4,1652.61,6610.44,CLI-28660,Trujillo,Marco Donoso Hierro
2024-12-15,Monitor ASUS,Monitores,4,1713.81,6855.24,CLI-65542,Chiclayo,Toribio de Pinto
2024-11-30,Laptop Dell,Laptops,1,6969.54,6969.54,CLI-91360,Arequipa,Jacobo del Agudo
2025-08-23,Laptop HP,Laptops,1,7634.29,7634.29,CLI-73201,Arequipa,Constanza del Barba
2024-09-09,Mouse Logitech,Periféricos,7,299.81,2098.67,CLI-92864,Lima Este,Jerónimo Pino Lerma
2024-01-27,Impresora HP,Impresoras,5,472.78,2363.9,CLI-80004,Lima Sur,Soraya Núñez Lamas
2025-03-28,Laptop Lenovo,Laptops,7,6341.36,44389.52,CLI-28304,Chiclayo,Arturo Pinto Caballero
2025-06-15,SSD Samsung,Almacenamiento,4,566.27,2265.08,CLI-51720,Trujillo,Arturo Pinto Caballero
2024-04-19,SSD Kingston,Almacenamiento,5,347.56,1737.8,CLI-52157,Trujillo,Paco Rocamora Nieto
2025-01-04,SSD Kingston,Almacenamiento,10,397.07,3970.7,,Lima Norte,Constanza del Barba
2024-03-03,RAM Corsair,Componentes,-1,555.65,555.65,CLI-98172,Lima Centro,Rolando del Bernal
2025-07-01,Impresora Epson,Impresoras,8,1619.94,12959.52,CLI-80533,Lima Sur,Ileana Antón-Andrés
2024-10-09,Impresora Epson,Impresoras,1,1828.12,1828.12,CLI-98029,Piura,César Guerrero Vazquez
2025-09-17,Auriculares Bose,Periféricos,7,1275.71,8929.97,CLI-56919,Cusco,Jacobo del Agudo
2025-09-07,Laptop HP,Laptops,2,5044.81,10089.62,CLI-35295,Piura,Albano Llopis Hierro
2024-12-18,Teclado Razer,Periféricos,1,403.37,403.37,CLI-99201,Trujillo,Paco Rocamora Nieto
2025-07-27,Laptop Lenovo,Laptops,10,5938.8,59388.0,CLI-38986,Lima Este,Javi Patiño-Cánovas
2024-06-27,Auriculares Bose,Periféricos,1,564.98,564.98,CLI-89433,Lima Este,Albano Llopis Hierro
2025-12-04,Teclado Logitech,Periféricos,7,144.38,1010.66,CLI-46352,Chiclayo,Javi Patiño-Cánovas
2024-02-23,Monitor ASUS,Monitores,9,1129.41,10164.69,CLI-84148,Lima Centro,Ileana Antón-Andrés
2024-01-29,Monitor LG,Monitores,2,1016.63,2033.26,CLI-84698,Lima Este,Felicidad Gallego Lasa
2025-10-21,Mouse Logitech,Periféricos,4,261.92,1047.68,CLI-13030,Chiclayo,Constanza del Barba
2024-08-03,Mouse Logitech,Periféricos,9,270.78,2437.02,CLI-10256,Cusco,Buenaventura de Bonet
2024-10-05,Auriculares Sony,Periféricos,7,1297.64,9083.48,CLI-63330,Arequipa,César Guerrero Vazquez
2024-03-04,Impresora HP,Impresoras,8,1192.92,9543.36,CLI-77797,Lima Norte,Casemiro Garrido-Navarro
2024-08-08,Laptop Dell,Laptops,5,7551.15,37755.75,CLI-79784,Piura,Pánfilo Segovia Casanovas
2024-03-26,Laptop HP,Laptops,7,3570.34,24992.38,CLI-20722,Lima Norte,Casemiro Garrido-Navarro
2025-01-06,SSD Samsung,Almacenamiento,2,750.2,1500.4,CLI-35805,Lima Centro,Pánfilo Segovia Casanovas
2024-09-23,Mouse Razer,Periféricos,2,206.5,413.0,CLI-22678,Lima Norte,Javi Patiño-Cánovas
2025-03-22,SSD Samsung,Almacenamiento,1,555.52,555.52,CLI-92090,Trujillo,Arturo Pinto Caballero
2025-09-24,Teclado Razer,Periféricos,2,289.43,578.86,CLI-54669,Lima Norte,Pánfilo Segovia Casanovas
2024-12-21,Impresora HP,Impresoras,4,1909.68,7638.72,CLI-88638,Piura,
2024-05-28,SSD Kingston,Almacenamiento,10,274.9,2749.0,CLI-17954,Lima Norte,Celia Baños-Arroyo
2024-12-27,Auriculares Sony,Periféricos,2,1217.44,2434.88,CLI-18126,Piura,Buenaventura de Bonet
2024-12-11,Mouse Razer,Periféricos,10,206.55,2065.5,CLI-18623,Lima Sur,Buenaventura de Bonet
2024-07-15,Impresora Epson,Impresoras,1,871.87,871.87,CLI-59998,Cusco,César Guerrero Vazquez
2025-10-30,SSD Samsung,Almacenamiento,4,718.75,2875.0,CLI-96471,Lima Norte,Toribio de Pinto
2024-09-12,Webcam Logitech,Periféricos,8,507.82,4062.56,CLI-91292,Lima Sur,Pánfilo Segovia Casanovas
2025-12-01,Laptop HP,Laptops,8,5344.67,42757.36,CLI-87045,LIMA ESTE,César Guerrero Vazquez
2025-11-12,Monitor Samsung,Monitores,1,1811.8,1811.8,CLI-18853,Lima Este,Jerónimo Pino Lerma
2025-10-07,Monitor LG,Monitores,9,1235.69,11121.21,CLI-65182,Piura,Constanza del Barba
2024-02-25,SSD Kingston,Almacenamiento,3,345.89,1037.67,CLI-15776,Lima Norte,Alba Mar Flor Rivas
2025-08-28,Mouse Razer,Periféricos,10,158.96,1589.6,CLI-95420,Trujillo,Soraya Núñez Lamas
2025-09-24,Impresora Epson,Impresoras,3,635.85,1907.55,CLI-50458,Trujillo,Soraya Núñez Lamas
2024-06-06,Auriculares Bose,Periféricos,1,872.98,872.98,CLI-96203,Lima Centro,Buenaventura de Bonet
2025-06-12,Teclado Razer,Periféricos,9,427.67,3849.03,CLI-83328,Lima Norte,Rolando del Bernal
2024-08-20,Auriculares Bose,Periféricos,4,1469.46,5877.84,CLI-93958,Lima Este,Ileana Antón-Andrés
2024-05-29,Auriculares Sony,Periféricos,4,1068.22,4272.88,CLI-71263,Trujillo,Jerónimo Pino Lerma
2025-03-31,Auriculares Sony,Periféricos,10,589.52,5895.2,CLI-53072,Lima Centro,César Guerrero Vazquez
2025-01-05,SSD Kingston,Almacenamiento,1,497.56,497.56,CLI-10484,Lima Este,Casemiro Garrido-Navarro
2024-09-15,SSD Kingston,Almacenamiento,10,327.88,3278.8,CLI-73012,Trujillo,Celia Baños-Arroyo
2025-09-29,Teclado Logitech,Periféricos,7,173.7,1215.9,CLI-10881,Trujillo,Albano Llopis Hierro
2025-11-17,Laptop Lenovo,Laptops,6,2665.1,15990.6,CLI-25098,Lima Centro,Soraya Núñez Lamas
2025-07-06,SSD Kingston,Almacenamiento,4,578.8,2315.2,CLI-57174,Lima Norte,Albano Llopis Hierro
2024-07-25,Teclado Logitech,Periféricos,4,213.64,854.56,CLI-38697,Arequipa,Jacobo del Agudo
2025-11-14,Auriculares Sony,Periféricos,9,519.75,4677.75,CLI-35688,Lima Norte,Jacobo del Agudo
2024-11-10,Mouse Logitech,Periféricos,2,55.25,110.5,CLI-98795,Lima Centro,Celia Baños-Arroyo
2024-02-09,Monitor Samsung,Monitores,6,2391.39,14348.34,CLI-49986,Piura,Casemiro Garrido-Navarro
2024-08-04,Auriculares Bose,Periféricos,6,1059.18,6355.08,CLI-79065,Cusco,Ileana Antón-Andrés
2024-01-15,Monitor Samsung,Monitores,3,2300.63,6901.89,CLI-27143,Lima Este,Paco Rocamora Nieto
2024-11-01,Impresora Epson,Impresoras,7,1510.97,10576.79,CLI-51674,Cusco,Casemiro Garrido-Navarro
2025-01-27,Laptop Dell,Laptops,10,5730.29,57302.9,CLI-80184,Arequipa,Alba Mar Flor Rivas
2024-09-13,Auriculares Sony,Periféricos,4,269.24,1076.96,CLI-46709,Lima Centro,Felicidad Gallego Lasa
2024-02-19,RAM Corsair,Componentes,4,477.28,1909.12,CLI-71691,Lima Sur,Jacobo del Agudo
2024-07-17,Impresora HP,Impresoras,7,1602.09,11214.63,CLI-94550,Chiclayo,Ani Marcos Pardo
2025-07-16,RAM Corsair,Componentes,9,358.92,3230.28,CLI-52182,Trujillo,Felicidad Gallego Lasa
2024-10-31,RAM Corsair,Componentes,8,363.19,2905.52,CLI-86177,Cusco,Jerónimo Pino Lerma
2024-07-18,Laptop Dell,Laptops,4,3707.39,14829.56,CLI-36607,Piura,Casemiro Garrido-Navarro
2025-10-15,Webcam Logitech,Periféricos,4,287.7,1150.8,CLI-59425,Lima Centro,Ani Marcos Pardo
2025-08-05,Mouse Logitech,Periféricos,9,71.19,640.71,CLI-21013,Arequipa,Toribio de Pinto
2025-01-22,Impresora HP,Impresoras,6,768.28,4609.68,CLI-15392,Piura,Felicidad Gallego Lasa
2025-10-02,Auriculares Sony,Periféricos,7,786.5,5505.5,CLI-66689,Cusco,Ani Marcos Pardo
2025-03-27,RAM Corsair,Componentes,6,272.86,1637.16,CLI-13239,Lima Centro,Toribio de Pinto
2024-05-08,Teclado Razer,Periféricos,5,358.14,1790.7,CLI-57067,Lima Sur,Soraya Núñez Lamas
2024-09-10,Impresora HP,Impresoras,9,1274.64,11471.76,CLI-20244,Arequipa,Casemiro Garrido-Navarro
2024-05-04,Monitor Samsung,Monitores,2,921.29,1842.58,CLI-15017,Chiclayo,Paco Rocamora Nieto
2024-08-22,Auriculares Sony,Periféricos,4,1077.64,4310.56,CLI-42771,Arequipa,Arturo Pinto Caballero
2025-07-10,Teclado Logitech,Periféricos,10,499.2,4992.0,CLI-81188,Arequipa,Albano Llopis Hierro
2025-06-17,Mouse Razer,Periféricos,5,255.58,1277.9,CLI-62928,Cusco,Jerónimo Pino Lerma
2024-09-08,Laptop HP,Laptops,8,6097.5,48780.0,CLI-29566,Cusco,Casemiro Garrido-Navarro
2025-08-03,Teclado Razer,Periféricos,4,289.78,1159.12,CLI-77610,Chiclayo,Toribio de Pinto
2025-02-24,SSD Kingston,Almacenamiento,6,675.15,4050.9,CLI-51035,Lima Este,Rolando del Bernal
2025-08-02,SSD Samsung,Almacenamiento,4,463.21,1852.84,CLI-83196,Lima Norte,Ani Marcos Pardo
2025-01-25,Monitor LG,Monitores,10,2285.38,22853.8,CLI-50051,Lima Norte,Javi Patiño-Cánovas
2024-12-18,Auriculares Bose,Periféricos,6,493.14,2958.84,CLI-65799,Cusco,Marco Donoso Hierro
2024-07-25,Mouse Razer,Periféricos,6,196.74,1180.44,CLI-84393,Lima Norte,Alba Mar Flor Rivas
2024-05-03,Monitor LG,Monitores,6,1765.92,10595.52,CLI-89036,Cusco,Celia Baños-Arroyo
2025-05-18,Teclado Logitech,Periféricos,7,125.48,878.36,CLI-60650,Lima Este,Javi Patiño-Cánovas
2025-05-02,Monitor Samsung,Monitores,6,1768.18,10609.08,CLI-69183,Arequipa,Ileana Antón-Andrés
2024-03-16,Monitor ASUS,Monitores,2,1947.31,3894.62,CLI-33283,Lima Norte,Constanza del Barba
2024-01-31,RAM Corsair,Componentes,1,234.01,234.01,CLI-19108,Cusco,Soraya Núñez Lamas
2024-04-04,Teclado Logitech,Periféricos,4,216.44,865.76,CLI-78733,Lima Sur,Toribio de Pinto
2024-05-18,Laptop Dell,Laptops,6,5351.92,32111.52,CLI-32521,Trujillo,Rolando del Bernal
2025-09-16,Webcam Logitech,Periféricos,3,595.32,1785.96,CLI-26926,Chiclayo,Rolando del Bernal
2024-05-25,RAM Corsair,Componentes,2,325.05,650.1,CLI-37063,Lima Centro,Paco Rocamora Nieto
2025-11-09,Mouse Razer,Periféricos,7,254.47,1781.29,CLI-97135,Piura,Jacobo del Agudo
2025-02-18,Mouse Razer,Periféricos,10,100.74,1007.4,CLI-99762,Piura,Arturo Pinto Caballero
2025-08-15,Teclado Logitech,Periféricos,1,496.43,496.43,CLI-68422,Lima Sur,Celia Baños-Arroyo
2024-02-17,Teclado Razer,Periféricos,9,231.56,2084.04,CLI-84609,Piura,Toribio de Pinto
2025-01-11,SSD Kingston,Almacenamiento,10,223.45,2234.5,CLI-21941,Arequipa,Toribio de Pinto
2025-01-07,Auriculares Bose,Periféricos,5,708.42,3542.1,CLI-32954,Cusco,Casemiro Garrido-Navarro
2025-08-15,Monitor ASUS,Monitores,10,2046.51,20465.1,CLI-70008,Cusco,Jacobo del Agudo
2025-04-06,Monitor Samsung,Monitores,7,1987.7,13913.9,CLI-15723,Lima Este,Jacobo del Agudo
2025-06-07,Mouse Logitech,Periféricos,9,122.97,1106.73,CLI-18748,Lima Este,Javi Patiño-Cánovas
2024-08-27,SSD Samsung,Almacenamiento,9,272.74,2454.66,CLI-58330,Lima Sur,César Guerrero Vazquez
2025-07-02,Impresora HP,Impresoras,6,1056.15,6336.9,CLI-31605,Arequipa,Paco Rocamora Nieto
2023-12-25,Impresora HP,Impresoras,1,1139.47,1139.47,CLI-19593,Piura,Celia Baños-Arroyo
2025-11-09,Auriculares Sony,Periféricos,7,1312.51,9187.57,CLI-61992,Lima Norte,Albano Llopis Hierro
2024-04-09,Mouse Logitech,Periféricos,2,227.27,454.54,CLI-27888,Trujillo,Toribio de Pinto
2025-11-11,RAM Corsair,Componentes,8,180.71,1445.68,CLI-81883,Lima Este,Toribio de Pinto
2025-06-15,Monitor LG,Monitores,8,2194.73,17557.84,,Lima Centro,Albano Llopis Hierro
2024-09-12,Monitor Samsung,Monitores,3,1300.05,3900.15,CLI-80078,Cusco,Jacobo del Agudo
2025-09-30,Laptop Lenovo,Laptops,1,6225.61,6225.61,CLI-30119,Piura,Ani Marcos Pardo
2024-11-26,Monitor ASUS,Monitores,4,2014.5,8058.0,CLI-98479,Chiclayo,Paco Rocamora Nieto
2024-04-06,SSD Kingston,Almacenamiento,1,701.9,701.9,CLI-78534,Lima Sur,Celia Baños-Arroyo
2024-10-09,Mouse Razer,Periféricos,8,63.1,504.8,CLI-10611,Lima Norte,Celia Baños-Arroyo
2025-03-03,Teclado Logitech,Periféricos,4,249.86,999.44,CLI-41265,Lima Este,Ileana Antón-Andrés
2024-05-23,Laptop HP,Laptops,7,2653.69,18575.83,CLI-11908,Trujillo,Paco Rocamora Nieto
2025-03-22,Laptop Lenovo,Laptops,4,7773.1,31092.4,CLI-22661,Lima Centro,Jacobo del Agudo
2023-12-17,Laptop Dell,Laptops,7,5318.75,37231.25,CLI-52879,Trujillo,Marco Donoso Hierro
2024-09-08,  Teclado Logitech  ,Periféricos,10,182.85,1828.5,CLI-81002,Cusco,Rolando del Bernal
2025-05-09,Monitor Samsung,Monitores,4,1163.43,4653.72,CLI-56737,Trujillo,Jacobo del Agudo
2024-06-13,Laptop HP,Laptops,7,6096.96,42678.72,CLI-11570,Cusco,Paco Rocamora Nieto
2025-05-16,SSD Kingston,Almacenamiento,4,239.61,958.44,CLI-46497,Trujillo,Buenaventura de Bonet
2024-03-31,Laptop Lenovo,Laptops,4,4761.03,19044.12,CLI-88494,Piura,César Guerrero Vazquez
2025-09-14,Impresora Epson,Impresoras,10,674.33,6743.3,CLI-22418,Trujillo,Celia Baños-Arroyo
2024-10-14,Monitor LG,Monitores,6,1098.06,6588.36,CLI-51676,Piura,Ileana Antón-Andrés
2025-09-28,Auriculares Sony,Periféricos,1,991.09,991.09,CLI-86681,Piura,Celia Baños-Arroyo
2025-05-16,Impresora HP,Impresoras,4,1205.47,4821.88,CLI-11742,Lima Este,Albano Llopis Hierro
2025-08-28,Monitor Samsung,Monitores,5,1201.87,6009.35,CLI-66164,Lima Este,Constanza del Barba
2024-07-04,Laptop Lenovo,Laptops,1,3256.56,3256.56,CLI-75369,Arequipa,Paco Rocamora Nieto
2024-05-18,Monitor LG,Monitores,7,1147.46,8032.22,CLI-14968,Lima Este,Constanza del Barba
2024-12-30,SSD Kingston,Almacenamiento,6,280.56,1683.36,CLI-51620,Lima Norte,Felicidad Gallego Lasa
2024-05-27,SSD Samsung,Almacenamiento,5,650.33,3251.65,CLI-40016,Trujillo,Pánfilo Segovia Casanovas
2025-06-18,Teclado Razer,Periféricos,4,315.72,1262.88,CLI-97163,Lima Este,Casemiro Garrido-Navarro
2025-06-09,Webcam Logitech,Periféricos,9,294.74,2652.66,CLI-67981,Lima Norte,Ileana Antón-Andrés
2023-12-14,RAM Corsair,Componentes,2,579.15,1158.3,CLI-16829,Lima Centro,Paco Rocamora Nieto
2025-08-18,Monitor LG,Monitores,2,1095.25,2190.5,CLI-81938,Lima Este,Casemiro Garrido-Navarro
2024-11-09,Impresora HP,Impresoras,2,1081.98,2163.96,CLI-71220,Arequipa,Jacobo del Agudo
2025-04-27,Teclado Logitech,Periféricos,4,269.61,1078.44,CLI-89410,Lima Este,Soraya Núñez Lamas
2024-01-02,Mouse Razer,Periféricos,10,162.07,1620.7,CLI-93309,Lima Este,Arturo Pinto Caballero
2024-04-06,RAM Corsair,Componentes,2,577.96,1155.92,CLI-57131,Cusco,Celia Baños-Arroyo
2024-12-19,Monitor ASUS,Monitores,8,1550.34,12402.72,CLI-76229,Cusco,Alba Mar Flor Rivas
2024-10-23,RAM Corsair,Componentes,1,492.87,492.87,CLI-66019,Lima Sur,Soraya Núñez Lamas
2024-08-15,Impresora Epson,Impresoras,3,1284.56,3853.68,CLI-33029,Arequipa,Celia Baños-Arroyo
2024-02-11,SSD Kingston,Almacenamiento,5,472.16,2360.8,CLI-59171,Chiclayo,Constanza del Barba
2024-08-16,RAM Corsair,Componentes,2,299.96,599.92,CLI-71506,Lima Este,Alba Mar Flor Rivas
2025-07-16,Teclado Logitech,Periféricos,1,105.13,105.13,CLI-75627,Trujillo,Javi Patiño-Cánovas
2024-03-03,Webcam Logitech,Periféricos,7,573.13,4011.91,CLI-58908,Cusco,Javi Patiño-Cánovas
2024-03-10,Mouse Razer,Periféricos,10,67.81,678.1,CLI-15089,Lima Sur,Celia Baños-Arroyo
2025-04-24,Monitor ASUS,Monitores,4,2097.02,8388.08,CLI-43457,Trujillo,Felicidad Gallego Lasa
2024-02-22,RAM Corsair,Componentes,6,463.4,2780.4,CLI-95315,Cusco,Rolando del Bernal
2025-06-11,Teclado Razer,Periféricos,4,291.09,1164.36,CLI-57371,Lima Norte,Alba Mar Flor Rivas
2024-04-20,Mouse Logitech,Periféricos,10,163.87,1638.7,CLI-99268,Lima Centro,Arturo Pinto Caballero
2024-04-23,Teclado Razer,Periféricos,10,331.34,3313.4,CLI-96848,Lima Centro,Albano Llopis Hierro
2025-10-19,  Monitor Samsung  ,Monitores,2,1895.48,3790.96,CLI-60377,Cusco,Jerónimo Pino Lerma
2025-04-13,Laptop Lenovo,Laptops,9,7504.72,67542.48,CLI-65436,Lima Centro,Rolando del Bernal
2025-06-28,Mouse Logitech,Periféricos,5,175.16,875.8,CLI-79887,Cusco,Jerónimo Pino Lerma
2024-05-31,Mouse Razer,Periféricos,7,238.12,1666.84,CLI-21648,Lima Sur,Jerónimo Pino Lerma
2024-09-10,Auriculares Bose,Periféricos,3,549.73,1649.19,CLI-37462,Cusco,Soraya Núñez Lamas
2025-06-06,Laptop HP,Laptops,3,6990.14,20970.42,CLI-10206,Lima Sur,Ileana Antón-Andrés
2025-08-26,SSD Samsung,Almacenamiento,9,450.11,4050.99,CLI-47793,Cusco,Jacobo del Agudo
2025-02-19,Monitor ASUS,Monitores,6,1116.88,6701.28,CLI-27607,Lima Este,Javi Patiño-Cánovas
2024-07-17,Monitor ASUS,Monitores,9,2412.42,21711.78,CLI-69069,Lima Este,Jacobo del Agudo
2025-06-18,Teclado Logitech,Periféricos,1,399.97,399.97,CLI-35150,Arequipa,Rolando del Bernal
2025-11-19,SSD Kingston,Almacenamiento,10,265.52,2655.2,CLI-93418,Lima Centro,Ileana Antón-Andrés
2024-07-06,Mouse Razer,Periféricos,2,144.43,288.86,CLI-46275,Lima Sur,Pánfilo Segovia Casanovas
2025-12-13,Laptop HP,Laptops,10,3791.29,37912.9,CLI-73595,Lima Sur,Albano Llopis Hierro
2024-10-28,Laptop Dell,Laptops,5,6634.89,33174.45,CLI-10947,Lima Norte,César Guerrero Vazquez
2025-01-25,Teclado Logitech,Periféricos,9,416.71,3750.39,CLI-59239,Chiclayo,Arturo Pinto Caballero
2025-10-31,RAM Corsair,Componentes,8,490.61,3924.88,CLI-89216,Cusco,Pánfilo Segovia Casanovas
2025-10-09,Auriculares Bose,Periféricos,-6,1499.28,8995.68,CLI-41404,Trujillo,Celia Baños-Arroyo
2024-12-30,Webcam Logitech,Periféricos,10,175.76,1757.6,CLI-56665,Trujillo,César Guerrero Vazquez
2025-03-06,Laptop HP,Laptops,8,7287.98,58303.84,CLI-62665,Lima Centro,Albano Llopis Hierro
2025-05-26,Monitor Samsung,Monitores,9,1275.09,11475.81,CLI-42576,Trujillo,Toribio de Pinto
2025-03-20,RAM Corsair,Componentes,9,335.91,3023.19,CLI-34633,Lima Norte,Pánfilo Segovia Casanovas
2024-04-15,Laptop HP,Laptops,6,7303.89,43823.34,CLI-52667,Piura,Casemiro Garrido-Navarro
2024-08-23,RAM Corsair,Componentes,7,482.64,3378.48,CLI-20665,Trujillo,Rolando del Bernal
2024-07-31,RAM Corsair,Componentes,2,480.42,960.84,CLI-48517,Lima Este,Alba Mar Flor Rivas
2024-02-17,Impresora HP,Impresoras,10,1655.78,16557.8,CLI-76143,Lima Norte,Alba Mar Flor Rivas
2024-11-24,RAM Corsair,Componentes,2,285.61,571.22,CLI-98219,Chiclayo,Toribio de Pinto
2024-01-04,Monitor ASUS,Monitores,8,2423.59,19388.72,CLI-73198,Chiclayo,Casemiro Garrido-Navarro
2025-08-07,Teclado Razer,Periféricos,4,168.17,672.68,,Lima Sur,César Guerrero Vazquez
2025-07-03,SSD Samsung,Almacenamiento,1,296.14,296.14,CLI-52795,Cusco,Arturo Pinto Caballero
2024-08-05,Teclado Razer,Periféricos,5,366.37,1831.85,CLI-97897,Lima Sur,Alba Mar Flor Rivas
2025-08-07,Impresora Epson,Impresoras,8,544.71,4357.68,CLI-53620,Lima Este,Jerónimo Pino Lerma
2024-07-26,Laptop Lenovo,Laptops,6,4573.56,27441.36,CLI-60023,Chiclayo,Rolando del Bernal
2023-12-21,Teclado Razer,Periféricos,4,203.64,814.56,CLI-48138,Lima Sur,César Guerrero Vazquez
2024-02-24,Laptop Lenovo,Laptops,6,6573.2,39439.2,CLI-34662,Lima Sur,Jerónimo Pino Lerma
2025-12-07,Auriculares Bose,Periféricos,3,1309.33,3927.99,CLI-59832,Lima Norte,Soraya Núñez Lamas
2025-09-20,Laptop Dell,Laptops,10,5445.82,54458.2,CLI-60875,Cusco,Pánfilo Segovia Casanovas
2024-02-12,Auriculares Bose,Periféricos,3,875.68,2627.04,CLI-88855,Lima Este,César Guerrero Vazquez
2024-08-04,Webcam Logitech,Periféricos,1,392.23,392.23,CLI-70372,Trujillo,Alba Mar Flor Rivas
2024-02-21,Mouse Razer,Periféricos,4,174.96,699.84,CLI-69740,Lima Centro,Constanza del Barba
2024-01-15,Mouse Razer,Periféricos,3,236.76,710.28,CLI-14501,Trujillo,Soraya Núñez Lamas
2024-11-16,Impresora HP,Impresoras,2,837.52,1675.04,CLI-85231,Piura,Paco Rocamora Nieto
2024-02-24,RAM Corsair,Componentes,5,466.86,2334.3,CLI-59375,Lima Norte,Pánfilo Segovia Casanovas
